product_id,addressable_population,estimated_penetration,competition_level,market_access_level,relative_price_index,marketing_awareness,launch_strength,physician_awareness,clinical_evidence_strength,treatment_familiarity
P001,230154,0.204,1.8,7.9,2.45,5.1,4.3,6.7,8.1,5.6
P002,41647,0.236,8.4,7.8,1.76,9.0,8.0,5.8,4.2,5.8
P003,62254,0.071,4.3,2.7,1.44,3.0,7.0,6.2,2.2,5.6
P004,216270,0.196,2.3,1.1,0.9,7.3,8.0,5.3,8.1,4.3
P005,73028,0.113,6.7,6.0,1.61,4.9,2.9,5.2,3.7,2.5
P006,183769,0.193,6.0,7.0,2.07,2.5,1.2,4.4,4.7,2.8
P007,179664,0.054,4.4,6.7,1.1,2.1,9.7,5.5,4.3,3.3
P008,42605,0.06,3.5,9.1,0.69,3.8,6.2,4.4,5.1,2.4
P009,79584,0.22,1.8,1.4,1.33,2.3,1.9,3.2,5.4,3.9
P010,80821,0.288,9.6,8.0,1.46,5.4,9.4,4.1,1.7,1.0
P011,257656,0.078,9.1,6.0,0.78,3.5,6.9,7.9,2.0,4.8
P012,51395,0.258,4.3,8.3,2.16,3.6,5.6,5.2,3.9,3.7
P013,408882,0.133,9.0,5.7,2.29,7.0,4.4,6.5,3.8,7.6
P014,465701,0.3,2.4,6.4,0.86,3.8,8.0,4.7,8.9,5.6
P015,15597,0.127,5.6,6.2,1.89,7.4,7.7,6.0,2.8,3.8
P016,85900,0.028,9.3,6.0,0.55,2.3,4.8,8.7,6.7,8.6
P017,292221,0.02,8.5,3.1,2.09,8.8,6.4,5.5,5.8,3.5
P018,30986,0.069,7.7,1.9,2.13,2.3,8.4,3.5,1.6,4.0
P019,79669,0.238,1.5,1.5,0.85,4.5,3.9,5.5,6.3,5.2
P020,649430,0.131,6.1,1.4,1.33,1.9,8.5,5.3,4.4,5.8
P021,125159,0.122,6.8,2.2,2.06,8.7,5.2,5.9,5.8,5.4
P022,467247,0.064,4.3,3.9,1.23,3.7,9.5,6.1,4.4,8.0
P023,75590,0.216,6.7,7.6,1.08,8.7,2.2,8.0,2.8,6.0
P024,34378,0.061,8.2,8.0,1.69,3.3,6.3,4.2,8.2,6.0
P025,143272,0.055,5.4,9.4,1.7,1.8,6.9,6.1,2.1,3.5
P026,125908,0.216,4.3,2.4,1.13,4.9,4.4,7.7,2.3,3.3
P027,213440,0.02,9.6,8.7,0.74,6.3,7.2,5.9,6.7,7.6
P028,146630,0.087,9.3,2.0,2.06,3.6,8.5,6.3,10.0,6.0
P029,117841,0.178,2.8,6.9,2.32,1.5,6.5,2.9,1.3,1.8
P030,117949,0.206,7.3,1.4,2.18,6.7,8.7,4.9,2.8,2.0
P031,140581,0.241,6.5,9.0,0.58,1.8,2.7,3.3,7.4,4.2
P032,324031,0.271,3.7,7.3,1.66,2.3,5.6,5.5,6.8,8.8
P033,133220,0.02,6.7,4.7,1.32,3.9,1.3,4.8,3.0,8.2
P034,76425,0.064,6.9,8.1,1.13,6.6,4.2,6.2,5.9,7.7
P035,145403,0.178,8.5,2.0,1.49,1.5,3.5,5.5,1.6,3.9
P036,25705,0.02,4.4,6.4,0.81,9.6,10.0,7.1,2.1,3.6
