product_id,therapeutic_area,indication,active_ingredient,pharmacological_class,mechanism_of_action,route_of_administration,target_population,addressable_population,competition_level,relative_price_index,market_access_level,clinical_evidence_strength
P001,Oncology,Colorectal Cancer,Bevacizumab,VEGF Inhibitor (Monoclonal Antibody),"Inhibits VEGF, blocking tumor angiogenesis",Intravenous Infusion,Adult,230154,1.8,2.45,7.9,8.1
P002,Gastroenterology,IBS,Linaclotide,Guanylate Cyclase-C Agonist,"Activates GC-C receptors, increasing intestinal fluid secretion",Oral,Adult,41647,8.4,1.76,7.8,4.2
P003,Dermatology,Chronic Urticaria,Omalizumab,Anti-IgE Monoclonal Antibody,"Binds free IgE, preventing mast cell/basophil activation",Subcutaneous Injection,Adult and Pediatric,62254,4.3,1.44,2.7,2.2
P004,Psychiatry,ADHD,Methylphenidate,Stimulant,Blocks reuptake of dopamine and norepinephrine,Oral,Adult and Pediatric,216270,2.3,0.9,1.1,8.1
P005,Endocrinology,Osteoporosis,Alendronate,Bisphosphonate,Inhibits osteoclast-mediated bone resorption,Oral,Elderly,73028,6.7,1.61,6.0,3.7
P006,Respiratory,Allergic Rhinitis,Montelukast,Leukotriene Receptor Antagonist,"Blocks the cysteinyl leukotriene receptor, reducing allergic inflammation",Oral,Adult and Pediatric,183769,6.0,2.07,7.0,4.7
P007,Psychiatry,Bipolar Disorder,Lamotrigine,Anticonvulsant / Mood Stabilizer,"Blocks voltage-gated sodium channels, stabilizing neuronal excitability",Oral,Adult,179664,4.4,1.1,6.7,4.3
P008,Infectious Disease,Hepatitis C,Ledipasvir,NS5A Inhibitor,"Inhibits HCV NS5A protein, blocking viral replication",Oral,Adult and Pediatric,42605,3.5,0.69,9.1,5.1
P009,Infectious Disease,Bacterial Pneumonia,Azithromycin,Macrolide Antibiotic,"Binds bacterial 50S ribosomal subunit, inhibiting protein synthesis",Oral,Adult and Pediatric,79584,1.8,1.33,1.4,5.4
P010,Respiratory,Cystic Fibrosis,Elexacaftor/Tezacaftor/Ivacaftor,CFTR Modulator,Corrects and potentiates defective CFTR protein function,Oral,Adult and Pediatric,80821,9.6,1.46,8.0,1.7
P011,Respiratory,Cystic Fibrosis,Elexacaftor/Tezacaftor/Ivacaftor,CFTR Modulator,Corrects and potentiates defective CFTR protein function,Oral,Adult and Pediatric,257656,9.1,0.78,6.0,2.0
P012,Oncology,Melanoma,Pembrolizumab,PD-1 Checkpoint Inhibitor (Monoclonal Antibody),"Blocks PD-1, restoring T-cell antitumor activity",Intravenous Infusion,Adult,51395,4.3,2.16,8.3,3.9
P013,Immunology,Psoriatic Arthritis,Secukinumab,IL-17A Inhibitor (Monoclonal Antibody),"Neutralizes IL-17A, reducing joint and skin inflammation",Subcutaneous Injection,Adult and Pediatric,408882,9.0,2.29,5.7,3.8
P014,Gastroenterology,Hepatic Fibrosis,Obeticholic Acid,FXR Agonist,"Activates farnesoid X receptor, reducing hepatic fibrosis progression",Oral,Adult,465701,2.4,0.86,6.4,8.9
P015,Cardiology,Hypertension,Lisinopril,ACE Inhibitor,"Inhibits angiotensin-converting enzyme, reducing vasoconstriction",Oral,Adult,15597,5.6,1.89,6.2,2.8
P016,Infectious Disease,Bacterial Pneumonia,Ceftriaxone,Cephalosporin Antibiotic,Inhibits bacterial cell wall synthesis,Intravenous Infusion,Adult and Pediatric,85900,9.3,0.55,6.0,6.7
P017,Endocrinology,Hypothyroidism,Levothyroxine,Thyroid Hormone Replacement,"Activates thyroid hormone receptors, restoring metabolic regulation",Oral,Adult and Pediatric,292221,8.5,2.09,3.1,5.8
P018,Oncology,Breast Cancer,Palbociclib,CDK4/6 Inhibitor,"Inhibits cyclin-dependent kinases 4/6, blocking cell cycle progression",Oral,Adult,30986,7.7,2.13,1.9,1.6
P019,Cardiology,Hypertension,Propranolol,Beta Blocker (Non-selective),"Blocks beta-adrenergic receptors, reducing heart rate and workload",Oral,Adult,79669,1.5,0.85,1.5,6.3
P020,Cardiology,Atrial Fibrillation,Apixaban,Anticoagulant (Factor Xa Inhibitor),"Directly inhibits Factor Xa, reducing thrombin generation",Oral,Adult,649430,6.1,1.33,1.4,4.4
P021,Gastroenterology,Hepatic Fibrosis,Obeticholic Acid,FXR Agonist,"Activates farnesoid X receptor, reducing hepatic fibrosis progression",Oral,Adult,125159,6.8,2.06,2.2,5.8
P022,Gastroenterology,IBS,Linaclotide,Guanylate Cyclase-C Agonist,"Activates GC-C receptors, increasing intestinal fluid secretion",Oral,Adult,467247,4.3,1.23,3.9,4.4
P023,Psychiatry,ADHD,Dextroamphetamine,Stimulant,Increases release and blocks reuptake of dopamine and norepinephrine,Oral,Adult and Pediatric,75590,6.7,1.08,7.6,2.8
P024,Gastroenterology,IBS,Linaclotide,Guanylate Cyclase-C Agonist,"Activates GC-C receptors, increasing intestinal fluid secretion",Oral,Adult,34378,8.2,1.69,8.0,8.2
P025,Endocrinology,Hypothyroidism,Levothyroxine,Thyroid Hormone Replacement,"Activates thyroid hormone receptors, restoring metabolic regulation",Oral,Adult and Pediatric,143272,5.4,1.7,9.4,2.1
P026,Dermatology,Chronic Urticaria,Omalizumab,Anti-IgE Monoclonal Antibody,"Binds free IgE, preventing mast cell/basophil activation",Subcutaneous Injection,Adult and Pediatric,125908,4.3,1.13,2.4,2.3
P027,Infectious Disease,Bacterial Pneumonia,Azithromycin,Macrolide Antibiotic,"Binds bacterial 50S ribosomal subunit, inhibiting protein synthesis",Oral,Adult and Pediatric,213440,9.6,0.74,8.7,6.7
