product_id,week_since_launch,weekly_rx,cumulative_rx
P001,1,1034,1034
P001,2,1118,2152
P001,3,1418,3571
P001,4,1628,5198
P001,5,1591,6789
P001,6,1863,8652
P001,7,2167,10819
P001,8,1732,12551
P001,9,2252,14803
P001,10,1958,16761
P001,11,2545,19306
P001,12,3134,22439
P001,13,2362,24801
P001,14,1921,26722
P001,15,2090,28812
P001,16,1726,30539
P001,17,2112,32651
P001,18,1812,34463
P001,19,1734,36196
P001,20,1549,37746
P001,21,1015,38761
P001,22,1181,39942
P001,23,1046,40988
P001,24,847,41834
P001,25,894,42729
P001,26,560,43289
P001,27,545,43834
P001,28,206,44040
P001,29,335,44375
P001,30,195,44570
P001,31,129,44699
P001,32,371,45070
P001,33,233,45303
P001,34,94,45397
P001,35,0,45397
P001,36,0,45397
P001,37,0,45397
P001,38,58,45454
P001,39,89,45543
P001,40,0,45543
P001,41,99,45643
P001,42,75,45717
P001,43,0,45717
P001,44,0,45717
P001,45,44,45761
P001,46,12,45773
P001,47,67,45840
P001,48,128,45969
P001,49,163,46132
P001,50,102,46234
P001,51,0,46234
P001,52,0,46234
P002,1,343,343
P002,2,494,838
P002,3,464,1302
P002,4,466,1768
P002,5,541,2310
P002,6,514,2824
P002,7,555,3379
P002,8,505,3884
P002,9,504,4388
P002,10,568,4956
P002,11,560,5516
P002,12,544,6061
P002,13,448,6509
P002,14,398,6907
P002,15,455,7361
P002,16,355,7716
P002,17,187,7903
P002,18,301,8204
P002,19,224,8428
P002,20,253,8681
P002,21,209,8890
P002,22,147,9038
P002,23,111,9148
P002,24,104,9252
P002,25,75,9327
P002,26,82,9409
P002,27,71,9479
P002,28,68,9547
P002,29,20,9568
P002,30,1,9569
P002,31,17,9586
P002,32,26,9611
P002,33,43,9654
P002,34,27,9681
P002,35,0,9681
P002,36,6,9687
P002,37,14,9701
P002,38,15,9717
P002,39,18,9735
P002,40,5,9740
P002,41,0,9740
P002,42,23,9763
P002,43,14,9778
P002,44,15,9793
P002,45,58,9850
P002,46,0,9850
